State_Name,Assembly_No,Constituency_No,Year,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Maharashtra,13,1,2019,1,ADV. K. C. PADAVI,M,INC,82770,61,ST,200628,278888,AKKALKUWA,ST,NANDURBAR,KHANDESH,6,71.94,41.26,no,2096,1.04,2.94,National Party,3482,TRUE,6,INC,3482,AKKALKUWA,TRUE,TRUE,6,FALSE,TRUE,TRUE,Post Graduate,Agriculture,,,,State Assembly Election (AE)
Maharashtra,13,1,2019,2,AAMSHYA FULJI PADAVI,M,SHS,80674,51,ST,200628,278888,AKKALKUWA,ST,NANDURBAR,KHANDESH,6,71.94,40.21,no,59010,29.41,2.94,State-based Party,18691,TRUE,2,SHS,18691,AKKALKUWA,TRUE,TRUE,0,FALSE,FALSE,TRUE,12th Pass,Other,,,,State Assembly Election (AE)
Maharashtra,13,1,2019,3,NAGESH DILVARSING PADVI,M,IND,21664,44,ST,200628,278888,AKKALKUWA,ST,NANDURBAR,KHANDESH,6,71.94,10.8,yes,16807,8.38,2.94,Independents,10809,TRUE,2,BJP,1605,AKKALKUWA,TRUE,FALSE,0,FALSE,FALSE,TRUE,12th Pass,Agriculture,,,,State Assembly Election (AE)
Maharashtra,13,1,2019,4,NOTA,,NOTA,4857,,,200628,278888,AKKALKUWA,ST,NANDURBAR,KHANDESH,6,71.94,2.42,,802,0.4,2.94,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Maharashtra,13,1,2019,5,ADV. KAILAS PRATAPSING VASAVE,M,AAAP,4055,28,ST,200628,278888,AKKALKUWA,ST,NANDURBAR,KHANDESH,6,71.94,2.02,yes,271,0.14,2.94,State-based Party (Other State),13,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Liberal Profession or Professional,Lawyer,,,State Assembly Election (AE)
Maharashtra,13,1,2019,6,BHARAT JALYA PAWARA,M,IND,3784,27,ST,200628,278888,AKKALKUWA,ST,NANDURBAR,KHANDESH,6,71.94,1.89,yes,960,0.48,2.94,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Other,,,,State Assembly Election (AE)
Maharashtra,13,1,2019,7,DR.SANJAY RAVLYA VALVI,M,BTP,2824,27,ST,200628,278888,AKKALKUWA,ST,NANDURBAR,KHANDESH,6,71.94,1.41,yes,0,0,2.94,Local Party,2055,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Liberal Profession or Professional,Doctor,Traditional Occupation,Traditional Medicine,State Assembly Election (AE)
Maharashtra,13,2,2019,1,Rajesh Udesing Padvi,M,BJP,94931,50,ST,210393,320555,SHAHADA,ST,NANDURBAR,KHANDESH,4,65.63,45.12,no,7991,3.8,2.63,National Party,1605,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,Graduate,Former Government,Ex Police,Agriculture,,State Assembly Election (AE)
Maharashtra,13,2,2019,2,Adv.Padmakar Vijaysing Valvi,M,INC,86940,51,ST,210393,320555,SHAHADA,ST,NANDURBAR,KHANDESH,4,65.63,41.32,no,65927,31.34,2.63,National Party,3482,TRUE,6,INC,3482,SHAHADA,TRUE,TRUE,3,FALSE,FALSE,TRUE,Graduate Professional,Agriculture,,,,State Assembly Election (AE)
Maharashtra,13,2,2019,3,Eng.Jelsing Bijala Pawara,M,IND,21013,59,ST,210393,320555,SHAHADA,ST,NANDURBAR,KHANDESH,4,65.63,9.99,yes,16953,8.06,2.63,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Retired or Pension,,Agriculture,,State Assembly Election (AE)
Maharashtra,13,2,2019,4,Mali Jaysing Devchand,M,CPIM,4060,66,ST,210393,320555,SHAHADA,ST,NANDURBAR,KHANDESH,4,65.63,1.93,yes,611,0.29,2.63,Local Party,2560,TRUE,6,CPM,14635,SHAHADA,TRUE,FALSE,0,TRUE,FALSE,TRUE,8th Pass,Agriculture,,,,State Assembly Election (AE)
Maharashtra,13,2,2019,5,NOTA,,NOTA,3449,,,210393,320555,SHAHADA,ST,NANDURBAR,KHANDESH,4,65.63,1.64,,0,0,2.63,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Maharashtra,13,3,2019,1,VIJAYKUMAR KRUSHNARAO GAVIT,M,BJP,121605,64,ST,188489,339098,NANDURBAR,ST,NANDURBAR,KHANDESH,6,55.59,64.52,no,70396,37.35,2.04,National Party,1605,TRUE,6,BJP,1605,NANDURBAR,TRUE,TRUE,6,FALSE,TRUE,TRUE,Post Graduate,Agriculture,,,,State Assembly Election (AE)
Maharashtra,13,3,2019,2,UDESING KOCHARU PADVI,M,INC,51209,71,ST,188489,339098,NANDURBAR,ST,NANDURBAR,KHANDESH,6,55.59,27.17,no,44475,23.6,2.04,National Party,3482,TRUE,6,BJP,1605,SHAHADA,FALSE,FALSE,1,TRUE,TRUE,TRUE,12th Pass,Agriculture,,,,State Assembly Election (AE)
Maharashtra,13,3,2019,3,DIPA SHAMSHON VALVI,F,VBA,6734,33,ST,188489,339098,NANDURBAR,ST,NANDURBAR,KHANDESH,6,55.59,3.57,yes,3213,1.7,2.04,Local Party,24559,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Small Business or Self-employed,,,,State Assembly Election (AE)
Maharashtra,13,3,2019,4,NOTA,,NOTA,3521,,,188489,339098,NANDURBAR,ST,NANDURBAR,KHANDESH,6,55.59,1.87,,1474,0.78,2.04,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Maharashtra,13,3,2019,5,ANANDA SUKALAL KOLI,M,IND,2047,52,ST,188489,339098,NANDURBAR,ST,NANDURBAR,KHANDESH,6,55.59,1.09,yes,122,0.06,2.04,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,8th Pass,Labourer or Daily Wage,,,,State Assembly Election (AE)
Maharashtra,13,3,2019,6,VIPUL RAMSING VASAVE,M,BSP,1925,25,ST,188489,339098,NANDURBAR,ST,NANDURBAR,KHANDESH,6,55.59,1.02,yes,477,0.25,2.04,State-based Party (Other State),16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Labourer or Daily Wage,,,,State Assembly Election (AE)
Maharashtra,13,3,2019,7,Adv.PRAKASH MOHAN GANGURDE,M,SWP,1448,31,ST,188489,339098,NANDURBAR,ST,NANDURBAR,KHANDESH,6,55.59,0.77,yes,0,0,2.04,Local Party,12961,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate Professional,Agriculture,,,,State Assembly Election (AE)
Maharashtra,13,4,2019,1,Naik Shirishkumar Surupsing,M,INC,74652,47,ST,217663,287977,NAWAPUR,ST,NANDURBAR,KHANDESH,10,75.58,34.3,no,11335,5.21,3.7,National Party,3482,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,Graduate,Business,,Agriculture,,State Assembly Election (AE)
Maharashtra,13,4,2019,2,Sharad Krushnarao Gavit,M,IND,63317,56,ST,217663,287977,NAWAPUR,ST,NANDURBAR,KHANDESH,10,75.58,29.09,no,4738,2.18,3.7,Independents,10809,TRUE,3,NCP,5792,NAWAPUR,TRUE,FALSE,1,FALSE,FALSE,TRUE,Graduate,Agriculture,,,,State Assembly Election (AE)
Maharashtra,13,4,2019,3,Gavit Bharat Manikrao,M,BJP,58579,48,ST,217663,287977,NAWAPUR,ST,NANDURBAR,KHANDESH,10,75.58,26.91,no,52570,24.15,3.7,National Party,1605,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Business,,Agriculture,,State Assembly Election (AE)
Maharashtra,13,4,2019,4,Dr. Ulhas Jayant Vasave,M,BTP,6009,45,ST,217663,287977,NAWAPUR,ST,NANDURBAR,KHANDESH,10,75.58,2.76,yes,547,0.25,3.7,Local Party,2055,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,State Assembly Election (AE)
Maharashtra,13,4,2019,5,Jagan Hurji Gavit,M,VBA,5462,49,ST,217663,287977,NAWAPUR,ST,NANDURBAR,KHANDESH,10,75.58,2.51,yes,512,0.24,3.7,Local Party,24559,TRUE,2,PWPI,12019,NAWAPUR,TRUE,FALSE,0,TRUE,FALSE,TRUE,12th Pass,Other,,,,State Assembly Election (AE)
Maharashtra,13,4,2019,6,NOTA,,NOTA,4950,,,217663,287977,NAWAPUR,ST,NANDURBAR,KHANDESH,10,75.58,2.27,,3664,1.68,3.7,NOTA,5897,TRUE,,,,,,,,,,,,,,,,State Assembly Election (AE)
Maharashtra,13,4,2019,7,Dr. Rakesh Rajya Gavit,M,IND,1286,41,ST,217663,287977,NAWAPUR,ST,NANDURBAR,KHANDESH,10,75.58,0.59,yes,132,0.06,3.7,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Business,,,,State Assembly Election (AE)
